epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.6095502376556396,0.18583552539348602,1.6094417572021484,0.2049180269241333
1,1.6095671653747559,0.20719929039478302,1.6094412803649902,0.2049180269241333
2,1.6094555854797363,0.20280948281288147,1.609439492225647,0.2049180269241333
0,1.6094893217086792,0.1861281841993332,1.6094290018081665,0.19672131538391113
1,1.6090350151062012,0.19490781426429749,1.6094298362731934,0.2049180269241333
2,1.60946786403656,0.20222418010234833,1.6094307899475098,0.20608898997306824
3,1.6094598770141602,0.19637107849121094,1.6094276905059814,0.20608898997306824
4,1.609345555305481,0.2063213288784027,1.609430193901062,0.20608898997306824
5,1.609560489654541,0.19373719394207,1.6094239950180054,0.20608898997306824
6,1.609523892402649,0.20134620368480682,1.6094238758087158,0.20608898997306824
7,1.6094313859939575,0.1957857757806778,1.6094260215759277,0.2049180269241333
8,1.6095107793807983,0.2045654058456421,1.60942542552948,0.2049180269241333
